release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2015-05-12,/lWM5mG5ibmmU9CYo19oWykpDa4H.jpg,2.786,14,4.1,0,0,90,Released,FALSE,/u6JA152kkjNBny8fsWZk4CTJLXd.jpg,Horror,NA,NA
1973-01-01,/qUDG9xyeogKzGa2QZu8zRNtu6sH.jpg,2.785,22,3.3,0,0,87,Released,FALSE,/ld4CD24YlmhRkHLK9FAwMdkhrU.jpg,"Action, Horror, Science Fiction",NA,NA
1988-04-07,/5jB44zLKtSrPA11LTPTEZH6mS0Z.jpg,2.784,29,5.7,0,0,88,Released,FALSE,/3vcVjlyB4jxoWG1GtCgaIzNxu0s.jpg,"Comedy, Horror, Science Fiction",NA,NA
1979-09-28,/tYB9ms0DxhQ9GCTV2jpICSnLgo8.jpg,2.784,30,5.8,0,0,95,Released,FALSE,/pt28sGYZ7na4WmdsDd4bjxQuWdU.jpg,"Horror, Romance, Thriller",NA,NA
1981-01-01,/ocGVN3IYmjn1nwglW1q9IdbLw75.jpg,2.783,31,5.4,750000,0,87,Released,FALSE,/tmvSrrNIcopLxG7DSSJXkD7iDiU.jpg,"Horror, Thriller",NA,NA
2010-02-15,/bLdUUFgwJTMv1VQl3Yh44jeLNsR.jpg,2.783,14,4.3,5000,0,81,Released,FALSE,NA,"Comedy, Horror, Thriller",NA,NA
2012-05-18,/zkP4iHbokofn3VPythlO54UAkDQ.jpg,2.782,12,4,0,0,83,Released,FALSE,/pSDfctHCFP1oy8GuwAZJzasbaMh.jpg,"Drama, Horror, Thriller",NA,NA
2012-10-25,/tOnH85CudyRTLvBhTsxQ5Wg14uM.jpg,2.782,47,5.6,0,0,91,Released,FALSE,/u69BbSsFxEhw3cmk0Taec8Qvf11.jpg,"Comedy, Horror",NA,NA
2015-08-31,/23WGyMPRLTfmDT3vxr3vgltTDkU.jpg,2.782,40,4.4,0,0,98,Released,FALSE,/7auIOCNoPFfKsOEmjzDdo5UvSBa.jpg,"Drama, Horror, Thriller",NA,NA
2016-05-01,/8Q8DwZ2X2UIsQNXh1hFxmoRMe8v.jpg,2.781,13,5.4,0,0,100,Released,FALSE,/5KYzLifL7aOVIW57JDxd1twWpxU.jpg,"Action, Horror",NA,NA
2020-12-17,/ivWleLvEQkSJiJ2xw1IQjJWkldp.jpg,2.781,8,6.8,0,0,79,Released,FALSE,/zU64iEhggZX62q1088fs18kjzJu.jpg,"Horror, Thriller",NA,NA
2008-07-22,/nqep5rj7EpTqT0MtuK4XaWOzXDP.jpg,2.78,9,4,0,0,0,Released,FALSE,/w4I7tyOZeVkHzRZb9HYMXGjz2nd.jpg,"Horror, Mystery, Thriller",NA,NA
